,Instance,Total Cost,Bsv Cost,Total Time,DP Time,IP Time,NDPI Time,Local Search Time,ALNS Operator Time,Type
0,C101-10,7595.52691824534,0.0,487.5909092,468.14168529999955,8.296776400000002,0.0302758,0.8281242999999993,0.2667442,C1
1,C101-25,13112.290857363387,0.0,5665.529652499999,4995.664833199986,542.5175176999991,4.9008171,2.892023800000001,0.8908294999999984,C1
2,C101-5,3960.921118198048,0.0,63.340306899999995,45.71348689999994,12.416215300000017,0.0074795999999999994,0.28028870000000006,0.09296899999999994,C1
3,C102-25,10848.284879551995,0.0,4108.432513,3545.3649602000014,474.8168720999994,5.9527114,2.443797500000002,0.8253777999999995,C1
4,C103-15,7595.974969000252,0.0,1844.33857,1815.692107499997,12.154974899999983,0.0445912,2.1673903,0.44358480000000017,C1
5,C103-25,5939.099061060639,0.0,11657.616887699998,10541.038968400015,516.3952948000003,1.7471055999999998,8.655209200000007,2.3614228999999987,C1
6,C103-5,2256.6674517467654,0.0,564.8177735,560.3273789,0.6619244999999991,0.0073613,0.3901339000000004,0.11474429999999994,C1
7,C104-10,5952.208484638801,0.0,3681.4542063,3671.7378330999977,1.269853200000004,0.0295097,2.828111500000001,0.29054899999999967,C1
8,C104-25,9940.6866602605,0.0,2510.61774138,88.26116758600001,24.304777112000004,5.484273116000001,1.23041282,0.288193248,C1
9,C105-25,10615.13775935951,0.0,5973.236182544399,1690.2582552630013,1115.9563159583995,1.3534905383999998,4.5019248092,0.5945066651999996,C1
10,C106-15,4740.354576780739,0.0,794.6824077,769.8931965000015,9.78163209999999,0.0505276,1.4854688000000005,0.4722614000000006,C1
11,C106-25,10732.89982373481,0.0,1238.3353030188,319.7384657150001,306.8847774524002,0.6880810916,1.9106458028,0.32606733320000025,C1
12,C107-25,10389.7213484908,0.0,2038.2040760732,638.8926939489996,225.21847874679978,0.5016424056,1.3181702547999996,0.2981302659999999,C1
13,C108-25,9244.566143796605,0.0,5673.6836749123995,1866.8166150650015,368.90778639959996,1.6322496876,3.5231467684000033,0.5587661435999995,C1
14,C109-25,10703.001379884758,0.0,2078.348085884,71.56476198599998,53.87177734400002,9.139134228,1.4448898519999993,0.388208296,C1
15,C201-25,7665.487319513126,0.0,3563.332738,1200.5142929999995,179.48227780000005,6.63025664,1.5431273200000006,0.4998165199999999,C2
16,C202-10,4461.200484520773,0.0,1458.0519342999999,1448.5463173,2.586599299999996,0.026875299999999998,1.0729677000000002,0.2424334999999999,C2
17,C202-15,7818.284296366062,0.0,2376.2209033999998,2344.321763199998,13.1034483,0.06501009999999999,1.4272711,0.43193920000000025,C2
18,C202-25,7434.147406871318,0.0,3240.170119219599,1146.7850665380001,21.501760680400015,0.8465983568000001,0.8205633687999999,0.36711965079999986,C2
19,C203-25,7070.600887506576,0.0,12008.817051279999,4271.822163299997,19.289422599999988,4.440851519999999,5.569819639999999,0.97165432,C2
20,C204-25,9072.732965949303,0.0,17.07943399166667,73.85826175599999,0.6466282083333332,12.183615325,3.856718366666668,0.3924720916666666,C2
21,C205-10,4923.445599697398,0.0,2063.6861052,2054.1654064000013,2.553566900000003,0.0289783,0.7718195999999995,0.26290659999999966,C2
22,C205-25,5764.70186422569,0.0,2349.263743792,827.0834657140005,25.33545384159997,0.5715938004,0.5653288311999999,0.29380717520000005,C2
23,C206-25,12601.254180019207,0.0,13336.513386,83.661471,0.8783599999999998,1591.204188,7.5989759999999995,0.6030359999999999,C2
24,C206-5,4238.856881211277,0.0,921.8551244999999,917.100822300001,0.7026913000000017,0.008354899999999998,0.3287068999999999,0.11719940000000004,C2
25,C207-25,7076.528788879177,0.0,3453.1785886919997,1217.6968097990007,35.605732825599986,0.8760611636,0.4476580304000001,0.3195011484000001,C2
26,C208-15,6169.845939118756,0.0,1780.3595977999998,1762.7892404000015,4.600570300000003,0.06891,2.2380708999999976,0.46982729999999967,C2
27,C208-25,6039.02111108896,0.0,2604.3918880335996,911.1676444899998,45.34199896799998,0.6916626499999998,0.32201786960000006,0.3199025311999998,C2
28,C208-5,3609.4444458337503,0.0,436.4402704,431.76288909999903,0.6808139999999995,0.007361599999999999,0.4996576000000001,0.13013210000000014,C2
29,R101-25,20310.89261045001,0.0,2677.8599145,1495.0519721999983,1107.6338577999998,26.7350528,2.8216121999999992,1.0212459,R1
30,R102-10,8768.4935356857,0.0,262.38290509999996,245.71126899999996,8.770357699999995,0.0287805,0.8368207999999994,0.27700519999999973,R1
31,R102-15,13699.744718286007,0.0,1521.2623569,1494.4865366000015,14.20291369999999,0.0869779,1.668780200000001,0.45053120000000013,R1
32,R102-25,14759.406120269447,0.0,2429.2348422,1545.6607583000002,845.7408237000002,7.199889,1.737489999999999,0.7895870999999999,R1
33,R103-10,4011.6188843138166,0.0,417.0868973,410.47756180000005,1.9999144000000004,0.029289199999999998,0.22288390000000008,0.23896270000000025,R1
34,R103-25,16657.769454680187,0.0,3797.9067596,3254.1884976000056,505.3666905999996,12.343980599999998,3.552024300000003,0.9513680999999999,R1
35,R104-25,11539.729317620207,0.0,3587.921192,3404.212343900006,159.6371963999999,7.6620007999999995,1.7643403999999974,0.8678001999999996,R1
36,R104-5,4181.780027110297,0.0,116.19906989999998,112.09584249999999,0.8090301000000012,0.007448,0.1866527000000001,0.10597279999999992,R1
37,R105-15,12800.274966631972,0.0,1777.3163525999998,1653.8842272000006,108.73541219999997,0.059766,1.685918900000001,0.3824913999999998,R1
38,R105-25,21086.8006255316,0.0,2322.7053441199996,475.1161264000003,973.6208613600006,6.735944040000001,1.1109663600000008,0.3972527999999997,R1
